GEOID,State,ssm_hh,total_hh,county_to_urb,urb_ssm_rate,adj_ssm_hh,adj_hh,adj_urb_ssm_rate,per_ssm,msm_index,msm_urb,male_pop,msm_pop
18061,IN,25.484347520225114,39684,2,0.001316614162945478,77.73286396255347,39736.24851644233,0.002629765938810684,0.0019562205005434433,0.7438762787490308,0.03776920561073565,15435,433.66
18063,IN,188.7569468870911,175639,2,0.001316614162945478,420.0057418526719,175870.2487949656,0.002629765938810684,0.0023881568641113725,0.9081252551287589,0.03776920561073565,66029,2264.74
18065,IN,31.8047646717025,48913,4,8.506617793153081e-4,73.41318428335217,48954.60841961165,0.0016998775377797136,0.0014996174344628645,0.8821914526981645,0.02678621884916539,20728,489.81
18067,IN,67.03296703296704,83452,3,0.0012836746938390434,174.15818758322288,83559.12522055025,0.0025640579713467324,0.002084250967486086,0.8128720141188404,0.03430668308799435,30757,857.72
18069,IN,28.552004648460198,36699,4,8.506617793153081e-4,59.770441287552686,36730.218436639094,0.0016998775377797136,0.0016272824892304624,0.9572939538667763,0.02678621884916539,14299,366.66
18071,IN,29.636257989540965,46212,4,8.506617793153081e-4,68.94704013525998,46251.310782145716,0.0016998775377797136,0.0014907045653260803,0.8769482107947355,0.02678621884916539,17303,406.45
18073,IN,22.892718958846288,33045,2,0.001316614162945478,66.40023397337961,33088.507515014535,0.002629765938810684,0.0020067461170090325,0.7630892496526085,0.03776920561073565,12655,364.73
18075,IN,4.337013364323068,20451,4,8.506617793153081e-4,21.733897413100436,20468.396884048776,0.0016998775377797136,0.0010618270466524848,0.6246491426902345,0.02678621884916539,7620,127.5
18077,IN,11.565368971528182,33057,4,8.506617793153081e-4,39.68569541035432,33085.120326438824,0.0016998775377797136,0.0011995028284252868,0.7056407310329021,0.02678621884916539,12585,237.87
18079,IN,27.46775130737943,27610,4,8.506617793153081e-4,50.954523034275084,27633.486771726897,0.0016998775377797136,0.0018439411376203535,1.0847493990824821,0.02678621884916539,10749,312.33
18081,IN,147.72282799859303,161952,2,0.001316614162945478,360.9511249159391,162165.22829691734,0.002629765938810684,0.0022258231848263648,0.8463959289977712,0.03776920561073565,60128,1922.15
18083,IN,40.11737361998838,36148,4,8.506617793153081e-4,70.86709561867814,36178.74972199869,0.0016998775377797136,0.001958804440817561,1.1523209156443373,0.02678621884916539,14425,445.25
18085,IN,71.19930273097037,80442,4,8.506617793153081e-4,139.6282375826524,80510.42893485168,0.0016998775377797136,0.00173428758770666,1.020242664052077,0.02678621884916539,30679,838.41
18087,IN,29.99767576990122,40364,4,8.506617793153081e-4,64.33378783018432,40398.336112060286,0.0016998775377797136,0.0015924860779347415,0.9368240020482647,0.02678621884916539,13835,347.18
18089,IN,495.4329933169187,497682,2,0.001316614162945478,1150.6881631599501,498337.25516984303,0.002629765938810684,0.0023090550650638657,0.8780458484864777,0.03776920561073565,183372,6081.18
18091,IN,107.25274725274726,112215,3,0.0012836746938390434,251.3003030218955,112359.04755576915,0.0025640579713467324,0.0022365827095246885,0.8722824267307644,0.03430668308799435,45928,1374.4
18093,IN,12.64962231260895,45113,4,8.506617793153081e-4,51.02552716286044,45151.375904850254,0.0016998775377797136,0.0011300990532467732,0.664812039767786,0.02678621884916539,17414,310.11
18095,IN,115.32747098135772,130545,2,0.001316614162945478,287.20486688307517,130716.87739590171,0.002629765938810684,0.002197152139835921,0.8354934206918759,0.03776920561073565,51348,1620.33
18097,IN,2195.953578336557,971737,1,0.00247692321944086,4602.87151682636,974143.9179384898,0.004941606459101834,0.004725042606196304,0.9561754148781625,0.065875644401241,348948,21979.77
18099,IN,9.758280069726903,46208,4,8.506617793153081e-4,49.065659568328655,46247.307379498605,0.0016998775377797136,0.001060940892530306,0.624127838006524,0.02678621884916539,17343,289.94
