age,mean,median,q025,q975,state
3,5573.607622929001,5375.0412397570835,2787.4967079788003,9469.30676595795,NM
4,2987.426139928871,2770.9164811035507,1216.7827907234955,6009.8358893269,NM
5,9223.155052057571,8958.940694871297,5046.95160158416,14867.022634654191,NM
1,3397.560391718827,3228.3446284120237,1624.0109479962264,6157.134186321774,NV
2,11630.58725758289,11406.617392133552,7278.060502402517,17243.35637322096,NV
3,6154.544037634386,5955.486955075881,3479.8404498534014,9975.585965942426,NV
4,4729.126786324624,4540.924748876327,2539.2672006346165,7987.703661896069,NV
5,14311.761719638842,14066.627057753336,9230.383819422384,20689.312651966633,NV
1,33788.08759585068,32933.25679865223,20023.37600100587,52308.96545044021,NY
2,79666.11620767595,78520.68232614952,53064.13602414879,112537.20513135774,NY
3,45219.35368743231,44311.656140135616,29125.992856663393,66466.7112133805,NY
4,34681.69053817915,33830.10953960457,21280.07205149951,53012.42696096992,NY
5,95183.99161101904,93998.00757345767,66251.22830067252,130408.82609262694,NY
1,19116.416953681623,18411.7539309786,10797.74083337486,31422.27999788088,OH
2,35638.39015307158,34879.977701463766,23372.832185443018,51959.16952559659,OH
3,25762.141598256807,25208.621959863325,16168.487320585977,38565.83670207173,OH
4,16090.622171270083,15708.793916100014,9951.26608786691,24370.887471761846,OH
5,47365.592884475634,46863.942920835434,32868.59322651563,64746.43400018455,OH
1,6473.435236442062,6014.813489524538,3334.403031126089,12321.639566463093,OK
2,12313.725726847746,11798.080273010364,7154.456644285928,20225.94616617968,OK
3,10102.005248441359,9731.208335528558,5540.6508812778075,16731.39854611184,OK
4,3798.6005701443864,3689.2240948878643,2217.553370378578,5988.917816526996,OK
5,15492.320000650541,15197.511680735388,9602.318503819652,23006.1594240746,OK
1,8371.48653460721,8098.808501866071,4737.599216709742,13527.791399598524,OR
2,16474.808120484307,16176.144286136183,11009.22020748602,23565.027826858583,OR
3,12866.224983654856,12640.499066765373,8329.204276162434,18764.612556661043,OR
4,7765.877604557682,7589.354900156333,4782.778837066831,11778.793893844391,OR
5,20449.54987230155,20253.45963212104,14182.365315725128,27871.075744282214,OR
